cnn,monthly_frequency,frequency_group
431000,8,7-8
432000,8,7-8
433000,4,4
434000,4,4
435000,4,4
436000,4,4
437000,4,4
438000,4,4
439000,4,4
440000,4,4
441000,4,4
442000,4,4
443000,4,4
444101,2,2
444102,2,2
444201,2,2
444202,2,2
445000,4,4
446000,40,37+
447000,40,37+
448000,40,37+
449000,40,37+
450000,40,37+
451000,40,37+
452000,40,37+
453000,40,37+
454000,40,37+
455000,40,37+
456000,40,37+
457000,40,37+
458000,40,37+
459000,40,37+
460000,40,37+
461000,2,2
462000,4,4
463000,4,4
464000,4,4
465000,4,4
466000,4,4
467000,4,4
468000,4,4
470000,4,4
471000,4,4
472000,4,4
473000,4,4
474000,4,4
475000,4,4
476000,4,4
477000,4,4
478000,4,4
479000,4,4
480000,40,37+
481000,40,37+
482000,40,37+
483000,40,37+
484000,40,37+
485000,40,37+
486000,40,37+
487000,40,37+
488000,40,37+
489000,40,37+
490000,40,37+
491000,40,37+
492000,2,2
493000,4,4
494000,4,4
495000,4,4
496000,4,4
497000,4,4
498000,4,4
499000,4,4
500000,4,4
501000,4,4
502000,4,4
503000,4,4
504000,4,4
505000,4,4
506000,4,4
507000,4,4
508000,20,17-20
509000,20,17-20
510000,20,17-20
511000,20,17-20
512000,20,17-20
513000,20,17-20
514000,20,17-20
515000,20,17-20
516000,20,17-20
517000,8,7-8
519000,2,2
520000,4,4
521000,4,4
522000,4,4
523000,4,4
524000,4,4
525000,4,4
526000,4,4
527000,4,4
528000,4,4
529000,4,4
530000,4,4
531000,4,4
532000,4,4
533000,4,4
534000,4,4
536000,4,4
537000,4,4
538000,4,4
539000,4,4
540000,20,17-20
541000,20,17-20
542000,20,17-20
543000,20,17-20
544000,20,17-20
545000,20,17-20
546000,20,17-20
547000,20,17-20
548101,8,7-8
548201,12,9-12
549101,8,7-8
549102,8,7-8
549201,12,9-12
549202,12,9-12
549203,12,9-12
550101,20,17-20
550201,32,29-36
551101,8,7-8
551102,8,7-8
551201,12,9-12
552000,2,2
553000,4,4
554000,4,4
555000,4,4
556000,4,4
557000,4,4
558000,4,4
559000,4,4
560000,4,4
561000,4,4
562000,4,4
563101,2,2
563102,2,2
563201,2,2
563202,2,2
564000,2,2
565000,4,4
566000,4,4
567000,4,4
568101,2,2
568102,2,2
568201,2,2
569101,2,2
569201,2,2
569202,2,2
569203,2,2
570000,4,4
571000,4,4
572000,4,4
573000,4,4
574000,4,4
575000,4,4
576000,20,17-20
577000,20,17-20
578000,8,7-8
579000,8,7-8
580000,19,17-20
581000,19,17-20
582000,19,17-20
583000,19,17-20
584000,19,17-20
585000,19,17-20
586000,19,17-20
587000,19,17-20
588000,19,17-20
589000,8,7-8
590000,8,7-8
591000,8,7-8
592000,8,7-8
593000,8,7-8
594000,8,7-8
595000,4,4
596000,8,7-8
597000,8,7-8
598000,8,7-8
599000,8,7-8
600000,8,7-8
604000,2,2
605000,4,4
606000,4,4
607000,4,4
608000,4,4
609000,4,4
610000,4,4
611000,4,4
