cnn,monthly_frequency,frequency_group
3428000,20,17-20
3429000,20,17-20
3430000,20,17-20
3431000,20,17-20
3432000,20,17-20
3433000,12,9-12
3434000,12,9-12
3435000,12,9-12
3436000,12,9-12
3437000,12,9-12
3438000,12,9-12
3439000,12,9-12
3440000,12,9-12
3441000,12,9-12
3442000,12,9-12
3443000,16,13-16
3444000,16,13-16
3445000,16,13-16
3446000,8,7-8
3447000,4,4
3448000,4,4
3449000,4,4
3450000,4,4
3451000,4,4
3452000,4,4
3453000,4,4
3454000,4,4
3455000,6,6
3456000,6,6
3457000,6,6
3458000,4,4
3459000,4,4
3460000,4,4
3462000,4,4
3463000,4,4
3464000,4,4
3465000,4,4
3466000,4,4
3467000,4,4
3468000,4,4
3469000,4,4
3470000,4,4
3471000,4,4
3472000,4,4
3473000,4,4
3474000,4,4
3475000,4,4
3476000,4,4
3477000,4,4
3478000,4,4
3479000,4,4
3480000,4,4
3481000,4,4
3482000,4,4
3483000,4,4
3484000,4,4
3485000,4,4
3486000,4,4
3487000,4,4
3488000,4,4
3489000,4,4
3490000,4,4
3491000,4,4
3492000,4,4
3493000,4,4
3494000,4,4
3495000,4,4
3496000,4,4
3497000,4,4
3498000,4,4
3499000,4,4
3500000,4,4
3501000,4,4
3502000,4,4
3503000,4,4
3504000,4,4
3505000,4,4
3506000,4,4
3507000,4,4
3508000,4,4
3509000,4,4
3510000,4,4
3511000,4,4
3512000,4,4
3513000,4,4
3514000,4,4
3515000,4,4
3518000,4,4
3518099,4,4
3522000,8,7-8
3524000,20,17-20
3525000,20,17-20
3526000,20,17-20
3527000,20,17-20
3528000,20,17-20
3529000,20,17-20
3530000,20,17-20
3531000,20,17-20
3532000,20,17-20
3533000,20,17-20
3534000,20,17-20
3535000,20,17-20
3536000,8,7-8
3537000,8,7-8
3538000,8,7-8
3539000,8,7-8
3540000,8,7-8
3541000,8,7-8
3542000,8,7-8
3543000,8,7-8
3544000,8,7-8
3545000,8,7-8
3546000,8,7-8
3547000,8,7-8
3548000,8,7-8
3549000,8,7-8
3550000,6,6
3551000,6,6
3552000,6,6
3553000,6,6
3554000,6,6
3555000,6,6
3556000,6,6
3557000,6,6
3558000,4,4
3559000,6,6
3560000,6,6
3561000,6,6
3562000,8,7-8
3563000,6,6
3564000,6,6
3565000,6,6
3566000,12,9-12
3567000,12,9-12
3568000,18,17-20
3569000,18,17-20
3570000,18,17-20
3571000,10,9-12
3572000,10,9-12
3573000,10,9-12
3574000,4,4
3575000,4,4
3576000,4,4
3577000,4,4
3578000,4,4
3579000,4,4
3580000,4,4
3581000,4,4
3582000,4,4
3583000,4,4
3584000,4,4
3585000,4,4
3586000,4,4
3587000,4,4
3588000,4,4
3589000,4,4
3590000,4,4
3591000,4,4
3592000,4,4
3593000,4,4
3594000,4,4
3595000,4,4
3596000,4,4
3597000,4,4
3598000,4,4
3599000,4,4
3600000,4,4
3601000,4,4
3602000,4,4
3603000,4,4
3604000,4,4
3605000,4,4
3606000,4,4
3607000,4,4
3608000,4,4
3609000,2,2
3614000,4,4
3615000,4,4
3616000,8,7-8
3617000,8,7-8
3618000,8,7-8
3619000,8,7-8
3620000,8,7-8
3621000,4,4
3622000,8,7-8
3623000,8,7-8
3624000,8,7-8
3625000,8,7-8
3626000,8,7-8
3627000,4,4
3628000,8,7-8
3629000,8,7-8
3630000,4,4
3631000,4,4
3632000,8,7-8
3633000,8,7-8
3634000,8,7-8
3635000,8,7-8
3636000,8,7-8
3637000,8,7-8
3638000,8,7-8
3639000,8,7-8
3640000,8,7-8
3641000,8,7-8
3642000,8,7-8
3643000,8,7-8
3644000,8,7-8
3645000,8,7-8
3646000,8,7-8
3647000,8,7-8
3650001,8,7-8
3650002,8,7-8
3651000,8,7-8
3652101,4,4
3652201,8,7-8
3653000,8,7-8
3654000,8,7-8
3655000,8,7-8
3656000,8,7-8
3657000,8,7-8
3658000,2,2
3659000,4,4
3660000,4,4
3661000,4,4
3662000,4,4
3663000,4,4
3664000,4,4
3665000,4,4
3666000,4,4
3667000,4,4
3668000,4,4
3669000,4,4
3670000,4,4
3671000,16,13-16
3672000,16,13-16
3673000,16,13-16
3674000,12,9-12
3675000,12,9-12
3676000,12,9-12
3677000,12,9-12
3678000,12,9-12
3679000,12,9-12
3680000,12,9-12
3681000,12,9-12
3682000,12,9-12
3683000,12,9-12
3684000,4,4
3685000,4,4
3686000,4,4
3688000,4,4
3689000,4,4
3690000,4,4
3691000,4,4
3692101,4,4
3692201,4,4
3693101,4,4
3693202,4,4
3693203,4,4
3694000,8,7-8
3695000,8,7-8
3696000,8,7-8
3697000,8,7-8
3698000,8,7-8
3699000,8,7-8
3700000,2,2
3701000,2,2
3702000,2,2
3703000,8,7-8
3704000,4,4
3705000,8,7-8
3706000,8,7-8
3708000,8,7-8
3709000,8,7-8
3710000,8,7-8
3712000,8,7-8
3713000,8,7-8
3714101,8,7-8
3714201,8,7-8
3715201,4,4
3716000,4,4
3717000,8,7-8
3718000,8,7-8
3719000,8,7-8
3720000,4,4
3721000,8,7-8
3722000,4,4
3724000,8,7-8
3725000,8,7-8
3733000,8,7-8
3734000,16,13-16
3735000,16,13-16
3736000,16,13-16
3737000,16,13-16
3738000,16,13-16
3740000,8,7-8
3741000,8,7-8
3742000,8,7-8
3744000,4,4
3750000,4,4
3754000,8,7-8
3755000,8,7-8
3756000,8,7-8
3757000,8,7-8
3758000,8,7-8
3759000,8,7-8
3760101,4,4
3760201,4,4
3761101,8,7-8
3761102,8,7-8
3761201,4,4
3762101,8,7-8
3762201,4,4
3762202,4,4
3768000,4,4
3769000,4,4
3770000,4,4
3771000,4,4
3772000,4,4
3773000,4,4
3774000,4,4
3775000,4,4
3776000,4,4
3777000,4,4
3778000,8,7-8
3780000,8,7-8
3781101,4,4
3781201,4,4
3782101,4,4
3782201,4,4
3783000,8,7-8
3784000,8,7-8
3785000,8,7-8
3786000,8,7-8
3787000,8,7-8
3788000,20,17-20
3789000,20,17-20
3790000,20,17-20
3791000,20,17-20
3792000,8,7-8
3793000,8,7-8
3794000,8,7-8
3795000,4,4
3796000,4,4
3797000,4,4
3798000,4,4
3799000,4,4
3800000,4,4
3801000,15,13-16
3802000,12,9-12
3803000,5,5
3804000,4,4
3805000,4,4
3806000,4,4
3808000,2,2
3810000,4,4
3811000,4,4
3812000,4,4
3813000,4,4
3814000,4,4
3815000,4,4
3816000,4,4
3818000,8,7-8
3819000,8,7-8
3820000,8,7-8
3821000,8,7-8
3822000,8,7-8
3823000,8,7-8
3824000,8,7-8
3825000,8,7-8
3826000,8,7-8
3827000,8,7-8
3828000,8,7-8
3829000,8,7-8
3830000,8,7-8
3832000,8,7-8
3833000,8,7-8
3834000,12,9-12
3835000,12,9-12
3836000,12,9-12
3837000,12,9-12
3838000,12,9-12
3839000,8,7-8
3840000,8,7-8
3841000,8,7-8
3842000,8,7-8
3843000,8,7-8
3844000,8,7-8
3845000,8,7-8
3846000,8,7-8
3847000,8,7-8
3848000,8,7-8
3849000,8,7-8
3850000,8,7-8
3851000,8,7-8
3852000,8,7-8
3853000,4,4
3854000,4,4
3855000,12,9-12
3856000,12,9-12
3857000,4,4
3858000,4,4
3859000,8,7-8
3860000,8,7-8
3861000,8,7-8
3862000,8,7-8
3863000,8,7-8
3864000,8,7-8
3865000,8,7-8
3866000,8,7-8
3867000,8,7-8
3868000,8,7-8
3870000,8,7-8
3871000,4,4
3872000,4,4
3873000,4,4
3874000,4,4
3875000,4,4
3876000,4,4
3877000,4,4
3878000,8,7-8
3891000,4,4
3898000,4,4
3899000,12,9-12
3901000,8,7-8
3905000,8,7-8
3906000,8,7-8
3909000,4,4
3910000,4,4
3911000,4,4
3912000,4,4
3917000,7,7-8
3918000,4,4
3919000,4,4
3920000,4,4
3921000,4,4
3922000,4,4
3923000,4,4
3924000,5,5
3925000,6,6
3926000,12,9-12
3927000,12,9-12
3928000,4,4
3929000,4,4
3930000,4,4
3931000,4,4
3932000,4,4
3933000,4,4
3934000,2,2
3935000,4,4
3936000,4,4
3937000,4,4
3938000,6,6
3943000,4,4
3944000,4,4
3946000,4,4
3947000,4,4
3948000,4,4
3950000,8,7-8
3951000,4,4
3957000,4,4
3958000,4,4
3959000,4,4
3964000,4,4
3970000,4,4
3971000,4,4
3972000,4,4
3973000,4,4
3974000,4,4
3975000,4,4
3976000,4,4
3977000,12,9-12
3978000,12,9-12
3979000,12,9-12
3980000,12,9-12
3981000,12,9-12
3982000,12,9-12
3983000,4,4
3984000,4,4
3985000,4,4
3986000,4,4
3987000,8,7-8
3988000,8,7-8
3989000,8,7-8
3990000,8,7-8
3993000,4,4
3995000,4,4
4004000,2,2
4005000,2,2
4006000,8,7-8
4007000,20,17-20
4008000,20,17-20
4009000,20,17-20
4010000,20,17-20
4011000,8,7-8
4012000,8,7-8
4013000,8,7-8
4014000,16,13-16
4015000,16,13-16
4016000,8,7-8
4017000,8,7-8
4018000,8,7-8
4019000,8,7-8
4020000,8,7-8
4021000,8,7-8
4022000,4,4
4023000,4,4
4024000,4,4
4025000,4,4
4026000,4,4
4027000,4,4
4028000,4,4
4029000,4,4
4030000,4,4
4031000,4,4
4032000,4,4
4033000,4,4
4034000,4,4
4035000,4,4
4036000,4,4
4037000,4,4
4038000,4,4
4039000,4,4
4040000,8,7-8
4041000,2,2
4042000,2,2
4043000,2,2
4044000,4,4
4045000,4,4
4046000,4,4
4047000,4,4
4048000,4,4
4049000,4,4
4050000,4,4
4051000,4,4
4057000,4,4
4058000,4,4
4059000,4,4
4060000,4,4
4061000,4,4
4062000,4,4
4063000,4,4
4064000,4,4
4065000,4,4
4066000,4,4
4067000,5,5
4068000,5,5
4069000,5,5
4070000,5,5
4071000,5,5
4072000,5,5
4073000,5,5
4074000,5,5
4075000,5,5
4076000,5,5
4077000,4,4
4079000,20,17-20
4080000,20,17-20
4081000,20,17-20
4082000,20,17-20
4083000,20,17-20
4084000,20,17-20
4085000,20,17-20
4086000,20,17-20
4087000,28,21-28
4088000,28,21-28
4089000,28,21-28
4090000,28,21-28
4091001,28,21-28
4091002,28,21-28
4092000,20,17-20
4093000,20,17-20
4094000,20,17-20
4102000,8,7-8
4103000,8,7-8
4104001,8,7-8
4104002,8,7-8
4105000,8,7-8
4107000,8,7-8
4108000,8,7-8
4109000,4,4
4110000,4,4
4111000,4,4
4112000,4,4
4113000,4,4
4114000,4,4
4115000,4,4
4116000,4,4
4117000,4,4
4118000,4,4
4119000,4,4
4120000,4,4
4121000,4,4
4122000,4,4
4123000,4,4
4124000,4,4
4125000,4,4
4126000,4,4
4127000,8,7-8
4128000,8,7-8
4129000,8,7-8
4130000,8,7-8
4131000,8,7-8
4132000,8,7-8
4133000,8,7-8
4134000,5,5
4135000,5,5
4136000,2,2
4137000,1,1
4138000,8,7-8
4139000,8,7-8
4140000,8,7-8
4141000,8,7-8
4142000,8,7-8
4143000,8,7-8
4144000,2,2
4145000,4,4
4146000,4,4
4147000,4,4
4149000,12,9-12
4150000,23,21-28
4151000,23,21-28
4152000,23,21-28
4153000,23,21-28
4154000,23,21-28
4155000,23,21-28
4156000,23,21-28
4157000,23,21-28
4158000,23,21-28
4159000,23,21-28
4160000,23,21-28
4161000,23,21-28
4162000,15,13-16
4163000,15,13-16
4164000,4,4
4165000,4,4
4166000,4,4
4167000,4,4
4168000,12,9-12
4169000,12,9-12
4170000,12,9-12
4171000,12,9-12
4172000,12,9-12
4173000,12,9-12
4174000,12,9-12
4175000,12,9-12
4176000,12,9-12
4177000,4,4
4178000,4,4
4179000,4,4
4180000,4,4
4181000,4,4
4182000,4,4
4183000,4,4
4184000,4,4
4185000,4,4
4186000,4,4
4187000,4,4
4188000,4,4
4189000,4,4
4190000,4,4
4191000,4,4
4192000,4,4
4193000,4,4
4194000,8,7-8
4195000,8,7-8
4196000,8,7-8
4197000,8,7-8
4198000,8,7-8
4199000,12,9-12
4200000,8,7-8
4202000,4,4
4203000,8,7-8
4205000,4,4
4208000,8,7-8
4209000,4,4
4210000,8,7-8
4211000,4,4
4212000,4,4
4213000,4,4
4214000,7,7-8
4215000,4,4
4216000,4,4
4217000,4,4
4218000,4,4
4219000,4,4
4220000,2,2
4224000,4,4
4228000,8,7-8
4229000,8,7-8
4230000,8,7-8
4231000,8,7-8
4232000,4,4
4233000,8,7-8
4234000,8,7-8
4235000,8,7-8
4236000,8,7-8
4237000,8,7-8
4238000,8,7-8
4239000,8,7-8
4240000,8,7-8
4241000,8,7-8
4242000,8,7-8
4243000,8,7-8
4244000,2,2
4245000,2,2
4246000,2,2
4247000,2,2
4248000,2,2
4249000,2,2
4252000,4,4
4253000,4,4
4254000,4,4
4255000,4,4
4256000,4,4
4257000,4,4
4258000,4,4
4259000,4,4
4260000,4,4
4262000,8,7-8
4263000,4,4
4264101,2,2
4264201,2,2
4265101,2,2
4265201,2,2
4266101,2,2
4266201,2,2
4267101,2,2
4267201,2,2
4269000,8,7-8
4270000,8,7-8
4271000,8,7-8
4272000,8,7-8
4273000,4,4
4274000,4,4
4275000,4,4
4276000,8,7-8
4277000,2,2
4278000,4,4
4279000,4,4
4282000,4,4
4285000,8,7-8
4286000,32,29-36
4287000,32,29-36
4288000,32,29-36
4289000,32,29-36
4290000,32,29-36
4291000,32,29-36
4292000,32,29-36
4293000,32,29-36
4294000,32,29-36
4295000,32,29-36
4296000,32,29-36
4297000,32,29-36
4298000,32,29-36
4299000,32,29-36
4300000,32,29-36
4301000,32,29-36
4302000,20,17-20
4303000,20,17-20
4304000,20,17-20
4305000,20,17-20
4306000,20,17-20
4307000,20,17-20
4308000,20,17-20
4310000,4,4
4312000,8,7-8
4313000,8,7-8
4314000,8,7-8
4315000,8,7-8
4316000,4,4
4317000,4,4
4318000,8,7-8
4319000,8,7-8
4320000,8,7-8
4321000,8,7-8
4322000,8,7-8
4329000,8,7-8
4330000,8,7-8
4331000,8,7-8
4332000,2,2
4333000,4,4
4334000,4,4
4335000,4,4
4336000,4,4
4337000,4,4
4338000,4,4
4339000,4,4
4340000,4,4
4341000,4,4
4342000,2,2
4343000,8,7-8
4344000,8,7-8
4345000,8,7-8
4346000,8,7-8
4347000,8,7-8
4348000,8,7-8
4349000,8,7-8
4350000,8,7-8
4351000,8,7-8
4352000,8,7-8
4353000,4,4
4354000,4,4
4355000,4,4
4360000,4,4
4361000,4,4
4363000,8,7-8
4364000,8,7-8
4369000,8,7-8
4370000,8,7-8
4371000,4,4
4377000,8,7-8
4378000,8,7-8
4379000,8,7-8
4380000,8,7-8
4381000,8,7-8
4382000,8,7-8
4383000,8,7-8
4384000,8,7-8
4385000,8,7-8
4386000,8,7-8
4387000,8,7-8
4388000,8,7-8
4389000,8,7-8
4390000,8,7-8
4391000,8,7-8
4392000,8,7-8
4393000,8,7-8
4394000,8,7-8
4397000,8,7-8
4398000,8,7-8
4399000,8,7-8
4400000,8,7-8
4401000,8,7-8
4402000,8,7-8
4403000,8,7-8
4404000,4,4
4405000,4,4
4406000,4,4
4407000,4,4
4408000,4,4
4409000,4,4
4410000,4,4
4411000,4,4
4412000,2,2
4414000,4,4
4415000,4,4
4416000,4,4
4417000,4,4
4418000,4,4
4419000,4,4
4420000,4,4
4421000,4,4
4422000,4,4
4423000,12,9-12
4424000,12,9-12
4425000,12,9-12
4426000,12,9-12
4427000,12,9-12
4428000,12,9-12
4429000,12,9-12
4430000,12,9-12
4431000,4,4
4432000,4,4
4433000,4,4
4434000,4,4
4435000,4,4
4436000,4,4
4437000,4,4
4438000,4,4
4439000,4,4
4440000,4,4
4441000,4,4
4442000,8,7-8
4443000,8,7-8
4445000,4,4
4446000,4,4
4447000,4,4
4448000,4,4
4449000,4,4
4450000,4,4
4457000,4,4
4462000,8,7-8
4463000,8,7-8
4464000,8,7-8
4465000,4,4
4466000,4,4
4467000,4,4
4468000,4,4
4469000,4,4
4470000,4,4
4471000,4,4
4472000,4,4
4475000,4,4
4476000,4,4
4477000,2,2
4478000,4,4
4479000,8,7-8
4480000,2,2
4481000,8,7-8
4482000,8,7-8
4483000,8,7-8
4484000,4,4
4485000,4,4
4486000,4,4
4487000,4,4
4488000,4,4
4489000,4,4
4490000,4,4
4491000,4,4
4492000,4,4
4493000,4,4
4494000,4,4
4495000,4,4
4496000,4,4
4497000,4,4
4498000,4,4
4499000,4,4
4500000,4,4
4501000,8,7-8
4502000,4,4
4503000,4,4
4504101,3,3
4504201,3,3
4505101,2,2
4505201,2,2
4506101,2,2
4506201,2,2
4507101,2,2
4507201,2,2
4508000,4,4
4509000,4,4
4510000,4,4
4511000,4,4
4512000,4,4
4513000,4,4
4514000,4,4
4515000,4,4
4516000,4,4
4517000,4,4
4518000,4,4
4519000,4,4
4520000,4,4
4521000,4,4
4522000,4,4
4523000,4,4
4524000,4,4
4532000,4,4
4533000,4,4
4534000,8,7-8
4535000,8,7-8
4542000,4,4
4544000,4,4
4547000,8,7-8
4548000,8,7-8
4550001,8,7-8
4552000,8,7-8
4553000,8,7-8
4554000,8,7-8
4555000,8,7-8
4562000,2,2
4564000,4,4
4565000,4,4
4569000,24,21-28
4570000,28,21-28
4571000,28,21-28
4575000,8,7-8
4578000,8,7-8
4580000,8,7-8
4581000,8,7-8
4582000,8,7-8
4583000,4,4
4584000,4,4
4585000,4,4
4586000,4,4
4587000,4,4
4588000,4,4
4589000,4,4
4590000,4,4
4591000,4,4
4592000,4,4
4593000,4,4
4594000,4,4
4596000,8,7-8
4597000,8,7-8
4598000,8,7-8
4599000,8,7-8
4600000,8,7-8
4601000,8,7-8
4605000,20,17-20
4606000,20,17-20
4607000,20,17-20
4609000,20,17-20
4610000,20,17-20
4616000,4,4
4618000,4,4
4619000,4,4
4620000,4,4
4621000,4,4
4622000,4,4
4623000,4,4
4626000,8,7-8
4627000,8,7-8
4628000,8,7-8
4629000,8,7-8
4630000,8,7-8
4631000,8,7-8
4632000,8,7-8
4633000,8,7-8
4634000,8,7-8
4635000,8,7-8
4636000,8,7-8
4637000,8,7-8
4638000,8,7-8
4639000,4,4
4640102,4,4
4640103,4,4
4641000,4,4
4642001,8,7-8
4642002,4,4
4643000,4,4
4644000,4,4
4645000,4,4
4646000,4,4
4647000,4,4
4648000,4,4
4649000,4,4
4650000,4,4
4653000,4,4
4654000,4,4
4655000,4,4
4656000,4,4
4657000,4,4
4658000,4,4
4659000,4,4
4660000,4,4
4661000,4,4
4662000,4,4
4663000,8,7-8
4664000,8,7-8
4667101,4,4
4667201,8,7-8
4668000,4,4
4669000,8,7-8
4670000,8,7-8
4673000,8,7-8
4674000,8,7-8
4675000,8,7-8
4676000,8,7-8
4677000,8,7-8
4678000,8,7-8
4679000,8,7-8
4680000,8,7-8
4681000,8,7-8
4682000,8,7-8
4683000,8,7-8
4684000,8,7-8
4685000,8,7-8
4686000,8,7-8
4695000,8,7-8
4699000,8,7-8
4700000,8,7-8
4701000,8,7-8
4702000,8,7-8
4705000,8,7-8
4706000,8,7-8
4707000,8,7-8
4708000,8,7-8
4709000,8,7-8
4710000,8,7-8
4712000,4,4
4713000,8,7-8
4714000,4,4
4715000,4,4
4716000,4,4
4717000,4,4
4720000,8,7-8
4721000,8,7-8
4722000,4,4
4723000,4,4
4724000,4,4
4725000,4,4
4726000,4,4
4729000,4,4
4730000,2,2
4731000,4,4
4734000,4,4
4735000,4,4
4736000,8,7-8
4737000,8,7-8
4738000,8,7-8
4739000,8,7-8
4740000,8,7-8
4741000,4,4
4742000,4,4
4743000,4,4
4744000,4,4
4745000,4,4
4746000,4,4
4747000,4,4
4748000,4,4
4749000,4,4
4750000,4,4
4751000,4,4
4752000,4,4
4753000,4,4
4754000,4,4
4755000,4,4
4756000,4,4
4757000,4,4
4758101,2,2
4758201,2,2
4759000,4,4
4760000,4,4
4761000,4,4
4762000,4,4
4763000,4,4
4764000,4,4
4765000,4,4
4766000,4,4
4767000,4,4
4768000,4,4
4769000,4,4
4770000,12,9-12
4771000,12,9-12
4772000,12,9-12
4773000,12,9-12
4774101,2,2
4774201,2,2
4775101,2,2
4775201,2,2
4776101,2,2
4776102,2,2
4776201,2,2
4777101,2,2
4777201,2,2
4778101,2,2
4778201,2,2
4779101,2,2
4779201,2,2
4780101,2,2
4780201,2,2
4781101,2,2
4781201,2,2
4782101,2,2
4782201,2,2
4783101,2,2
4783201,2,2
4784101,2,2
4784201,2,2
4786000,8,7-8
4787000,4,4
4789000,4,4
4794000,2,2
4795000,4,4
4796000,8,7-8
4797000,8,7-8
4798101,4,4
4798201,4,4
4799101,4,4
4799201,12,9-12
4800101,16,13-16
4800201,12,9-12
4801101,16,13-16
4801201,12,9-12
4802101,16,13-16
4802201,12,9-12
4803101,16,13-16
4803201,12,9-12
4804101,16,13-16
4804201,12,9-12
4805101,16,13-16
4805201,12,9-12
4806101,4,4
4806201,4,4
4807101,4,4
4807201,4,4
4808101,4,4
4808201,4,4
4809101,4,4
4809201,4,4
4810101,12,9-12
4810201,4,4
4811101,12,9-12
4811201,4,4
4812101,16,13-16
4812102,16,13-16
4812201,12,9-12
4813101,16,13-16
4813201,12,9-12
4814101,16,13-16
4814201,12,9-12
4815101,16,13-16
4815201,12,9-12
4816101,16,13-16
4816201,12,9-12
4817101,12,9-12
4817201,8,7-8
4818101,2,2
4818201,2,2
4819000,4,4
4820000,4,4
4821000,4,4
4822000,4,4
4823000,4,4
4824000,4,4
4825000,4,4
4826000,4,4
4827000,4,4
4828000,4,4
4829000,12,9-12
4830000,4,4
4831000,4,4
4832000,4,4
4833000,4,4
4834000,4,4
4835000,4,4
4836000,4,4
4837000,4,4
4838000,4,4
4839000,4,4
4840000,4,4
4841000,8,7-8
4842000,8,7-8
4843000,8,7-8
4844000,8,7-8
4845000,8,7-8
4846101,8,7-8
4846201,4,4
4861101,4,4
4861102,4,4
4861201,12,9-12
4862101,4,4
4862201,8,7-8
4863101,4,4
4863201,8,7-8
4864101,4,4
4864201,8,7-8
4865101,4,4
4865201,8,7-8
4866101,4,4
4866201,8,7-8
4867101,4,4
4867201,8,7-8
4868101,4,4
4868102,4,4
4868201,8,7-8
4869101,4,4
4869201,8,7-8
4870101,4,4
4870201,8,7-8
4871101,4,4
4871201,8,7-8
4872101,4,4
4872201,8,7-8
4873101,4,4
4873201,8,7-8
4874101,4,4
4874201,8,7-8
4875101,3,3
4875201,3,3
4876101,3,3
4876201,3,3
4877101,3,3
4877201,3,3
4878101,3,3
4878201,3,3
4879101,3,3
4879201,3,3
4880101,3,3
4880201,3,3
4881101,3,3
4881201,3,3
4882101,3,3
4882201,3,3
4883101,3,3
4883201,3,3
4884101,3,3
4884201,3,3
4885101,3,3
4885201,3,3
4886101,3,3
4886201,3,3
4887101,3,3
4887201,3,3
4888101,3,3
4888201,3,3
4889101,3,3
4889201,3,3
4890101,3,3
4890201,3,3
4897001,8,7-8
4898000,8,7-8
4899000,8,7-8
4907000,8,7-8
4908000,8,7-8
4910000,8,7-8
4911000,8,7-8
4912000,4,4
4913000,4,4
4915000,4,4
4916000,2,2
4917000,2,2
4918000,2,2
4919000,4,4
4920000,4,4
4921000,4,4
4922000,4,4
4923000,4,4
4924000,4,4
4926101,2,2
4926201,2,2
4927000,4,4
4928000,4,4
4929000,12,9-12
4931000,4,4
4932000,20,17-20
4934000,8,7-8
4935000,8,7-8
4936000,8,7-8
4937000,4,4
4938000,8,7-8
4939000,4,4
4940000,8,7-8
4941000,8,7-8
4942000,8,7-8
4943000,8,7-8
4944000,8,7-8
4945000,8,7-8
4946000,8,7-8
4947000,8,7-8
4949000,4,4
4950000,4,4
4951000,4,4
4952000,4,4
4953000,4,4
4954000,4,4
4955000,4,4
4956000,4,4
4957000,4,4
4958000,4,4
4959000,4,4
4960000,4,4
4961000,4,4
4962000,4,4
4964000,8,7-8
4965000,8,7-8
4966000,8,7-8
4967000,8,7-8
4968000,8,7-8
4969000,8,7-8
4970000,20,17-20
4971000,20,17-20
4972000,20,17-20
4973000,20,17-20
4975001,8,7-8
4976000,8,7-8
4977000,8,7-8
4978101,8,7-8
4978102,8,7-8
4978201,12,9-12
4979000,20,17-20
4980000,12,9-12
4981000,12,9-12
4982000,12,9-12
4983000,12,9-12
4985000,8,7-8
4986000,8,7-8
4987000,8,7-8
4988000,8,7-8
4989000,8,7-8
4990000,8,7-8
4991000,8,7-8
4992000,8,7-8
4993000,8,7-8
4994000,8,7-8
4995000,8,7-8
4996101,4,4
4996201,4,4
4997000,6,6
4998000,6,6
4999000,4,4
5000000,4,4
5001000,4,4
5005000,4,4
5006000,4,4
5007000,4,4
5008000,2,2
5009000,4,4
5010000,4,4
5011000,4,4
5012000,4,4
5013000,4,4
5018000,8,7-8
5019000,8,7-8
5020000,8,7-8
5021000,8,7-8
5022000,8,7-8
5023000,8,7-8
5024000,8,7-8
5025000,8,7-8
5026000,8,7-8
5027000,8,7-8
5028000,8,7-8
5029000,8,7-8
5030000,4,4
5031000,8,7-8
5032000,8,7-8
5047000,4,4
5048000,4,4
5049000,4,4
5050000,4,4
5058000,28,21-28
5059000,28,21-28
5060000,32,29-36
5061001,32,29-36
5061002,32,29-36
5062000,32,29-36
5063000,32,29-36
5064000,32,29-36
5065000,32,29-36
5066000,8,7-8
5067000,8,7-8
5068000,8,7-8
5069000,8,7-8
5070000,8,7-8
5071000,8,7-8
5072000,8,7-8
5073000,6,6
5074000,6,6
5075000,8,7-8
5076000,8,7-8
5077000,8,7-8
5078000,2,2
5079000,4,4
5085000,8,7-8
5086000,8,7-8
5087000,8,7-8
5088000,8,7-8
5089000,8,7-8
5090000,8,7-8
5091000,8,7-8
5092000,8,7-8
5093000,8,7-8
5094000,8,7-8
5096000,4,4
5097000,4,4
5098000,4,4
5099000,4,4
5100000,4,4
5101000,4,4
5102000,4,4
5105000,8,7-8
5114000,8,7-8
5115000,8,7-8
5116000,8,7-8
5117000,4,4
5118000,8,7-8
5119000,4,4
5120000,4,4
5121000,4,4
5122000,4,4
5123000,4,4
5124000,4,4
5125101,2,2
5125102,2,2
5125201,2,2
5126000,4,4
5127000,4,4
5128000,2,2
5130000,2,2
5134000,4,4
5135000,4,4
5136000,4,4
5139000,8,7-8
5141000,6,6
5142000,4,4
5143000,4,4
5144000,4,4
5145000,4,4
5146000,4,4
5147000,4,4
5148000,4,4
5149000,4,4
5150000,4,4
5152000,4,4
5153000,4,4
5154000,5,5
5155000,4,4
5156000,4,4
5157000,4,4
5158000,8,7-8
5159000,8,7-8
5160000,8,7-8
5161000,8,7-8
5162000,8,7-8
5163000,8,7-8
5164000,8,7-8
5166000,4,4
5168000,8,7-8
5169000,32,29-36
5170000,32,29-36
5171000,32,29-36
5172000,32,29-36
5173000,32,29-36
5174000,32,29-36
5175000,32,29-36
5176000,32,29-36
5177000,32,29-36
5178000,32,29-36
5179000,32,29-36
5180000,8,7-8
5181000,8,7-8
5182000,8,7-8
5183001,8,7-8
5183002,8,7-8
5184000,8,7-8
5185000,8,7-8
5187000,4,4
5188000,8,7-8
5189000,6,6
5190000,8,7-8
5191000,8,7-8
5192000,8,7-8
5193000,8,7-8
5197000,8,7-8
5198000,8,7-8
5199000,8,7-8
5200000,8,7-8
5201000,4,4
5202000,12,9-12
5207000,2,2
5208000,8,7-8
5209000,8,7-8
5211000,8,7-8
5212000,8,7-8
5213000,8,7-8
5214101,2,2
5214201,2,2
5215000,4,4
5216000,2,2
5219000,4,4
5220000,4,4
5221000,4,4
5225000,2,2
5229000,8,7-8
5235000,4,4
5236000,4,4
5237000,2,2
5238000,2,2
5245000,4,4
5246000,4,4
5247000,4,4
5252000,8,7-8
5253000,12,9-12
5257000,8,7-8
5258000,8,7-8
5259000,8,7-8
5260000,8,7-8
5261000,8,7-8
5262000,4,4
5263000,4,4
5264000,4,4
5265000,2,2
5266000,2,2
5267000,4,4
5268000,4,4
5269000,5,5
5270000,5,5
