cnn,corridor,limits,monthly_frequency,frequency_group,days_cleaned,time_ranges,schedule_summary,block_sides,street_sides,heatmap_cells,holidays
12037000,Southwood Dr,Plymouth Ave  -  Plymouth Ave,56,51-60,"Thu, Wed",1 PM - 3 PM,"Thu 1 PM - 3 PM, Wed 1 PM - 3 PM","NorthWest, SouthEast","L, R","Thu|12-14, Wed|12-14",0
12038000,Southwood Dr,Plymouth Ave  -  Granada Ave,56,51-60,"Thu, Wed",1 PM - 3 PM,"Thu 1 PM - 3 PM, Wed 1 PM - 3 PM","NorthWest, SouthEast","L, R","Thu|12-14, Wed|12-14",0
12039000,Southwood Dr,Granada Ave  -  Miramar Ave,56,51-60,"Thu, Wed",1 PM - 3 PM,"Thu 1 PM - 3 PM, Wed 1 PM - 3 PM","North, South","L, R","Thu|12-14, Wed|12-14",0
1204000,22nd St,Noe St  -  Castro St,52,51-60,"Fri, Tues",12 PM - 2 PM,"Fri 12 PM - 2 PM, Tues 12 PM - 2 PM","North, South","L, R","Fri|12-14, Tues|12-14",0
12040000,Southwood Dr,Miramar Ave  -  Faxon Ave,54,51-60,"Thu, Wed","1 PM - 3 PM, 12 PM - 2 PM","Thu 1 PM - 3 PM, Wed 12 PM - 2 PM","NorthEast, SouthWest","L, R","Thu|12-14, Wed|12-14",0
12041000,Southwood Dr,Faxon Ave  -  Faxon Ave,54,51-60,"Thu, Wed","1 PM - 3 PM, 12 PM - 2 PM","Thu 1 PM - 3 PM, Wed 12 PM - 2 PM","NorthEast, SouthWest","L, R","Thu|12-14, Wed|12-14",0
12043000,Sparta St,Ankeny St  -  Harkness Ave,54,51-60,Fri,12 PM - 3 PM,Fri 12 PM - 3 PM,"East, West","L, R",Fri|12-14,0
12044000,Spear St,Market St  -  Mission St,10,1-10,"Fri, Mon, Thu, Tues, Wed",12 AM - 2 AM,"Fri 12 AM - 2 AM, Mon 12 AM - 2 AM, Thu 12 AM - 2 AM, Tues 12 AM - 2 AM, Wed 12 AM - 2 AM","NorthEast, SouthWest","L, R","Fri|12-2, Mon|12-2, Thu|12-2, Tues|12-2, Wed|12-2",0
12045000,Spear St,Mission St  -  Howard St,10,1-10,"Fri, Mon, Thu, Tues, Wed",12 AM - 2 AM,"Fri 12 AM - 2 AM, Mon 12 AM - 2 AM, Thu 12 AM - 2 AM, Tues 12 AM - 2 AM, Wed 12 AM - 2 AM","NorthEast, SouthWest","L, R","Fri|12-2, Mon|12-2, Thu|12-2, Tues|12-2, Wed|12-2",0
12046000,Spear St,Howard St  -  Folsom St,10,1-10,"Fri, Mon, Thu, Tues, Wed",12 AM - 2 AM,"Fri 12 AM - 2 AM, Mon 12 AM - 2 AM, Thu 12 AM - 2 AM, Tues 12 AM - 2 AM, Wed 12 AM - 2 AM","NorthEast, SouthWest","L, R","Fri|12-2, Mon|12-2, Thu|12-2, Tues|12-2, Wed|12-2",0
12047000,Spear St,Folsom St  -  Harrison St,4,1-10,"Thu, Wed",12 AM - 2 AM,"Thu 12 AM - 2 AM, Wed 12 AM - 2 AM","NorthEast, SouthWest","L, R","Thu|12-2, Wed|12-2",0
12048000,Spear St,Harrison St  -  End: 400-499 Block,4,1-10,"Thu, Wed",12 AM - 2 AM,"Thu 12 AM - 2 AM, Wed 12 AM - 2 AM","NorthEast, SouthWest","L, R","Thu|12-2, Wed|12-2",0
1205000,22nd St,Castro St  -  Collingwood St,40,31-40,"Mon, Wed",9 AM - 11 AM,"Mon 9 AM - 11 AM, Wed 9 AM - 11 AM","North, South","L, R","Mon|8-10, Wed|8-10",0
12053000,Springfield Dr,Sloat Blvd  -  Emerald Ln,42,41-50,"Mon, Tues","11 AM - 1 PM, 8 AM - 10 AM","Mon 11 AM - 1 PM, Tues 8 AM - 10 AM","East, West","L, R","Mon|10-12, Tues|8-10",0
12054000,Springfield Dr,Emerald Ln  -  Ocean Ave,42,41-50,"Mon, Tues","11 AM - 1 PM, 8 AM - 10 AM","Mon 11 AM - 1 PM, Tues 8 AM - 10 AM","East, West","L, R","Mon|10-12, Tues|8-10",0
12055000,Springfield Dr,Ocean Ave  -  Eucalyptus Dr,42,41-50,"Mon, Tues","11 AM - 1 PM, 8 AM - 10 AM","Mon 11 AM - 1 PM, Tues 8 AM - 10 AM","East, West","L, R","Mon|10-12, Tues|8-10",0
12056000,Sproule Ln,Sacramento St  -  Clay St,32,31-40,Tues,7 AM - 9 AM,Tues 7 AM - 9 AM,"East, West","L, R",Tues|6-8,0
12057000,Spruce St,Pacific Ave  -  Jackson St,36,31-40,Wed,8 AM - 10 AM,Wed 8 AM - 10 AM,"East, West","L, R",Wed|8-10,0
